potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-0.8676228845087981,-0.3683264252255378,0.0023065740143577863,-2.2175963224569615,-2.2718466173534253,-2.239286062737335,-2.2093797962602384,-0.8679193340697215,-0.36482190097836587,0.0026560982100000004,-2.2672590997795745,-2.2665883924373134,-2.264844553347434,-2.2671249583111224
-0.8749023897864494,-0.3743356794320547,0.0024040741263600778,-2.2606114783016813,-2.3150725233636047,-2.280716842229367,-2.2494478248135223,-0.8748929618551462,-0.3703050413190652,0.00272480158,-2.3093795208735743,-2.3076356817836956,-2.3058918426938164,-2.3062942670991733
-0.8822873951405881,-0.38013530849183286,0.0024650116963615045,-2.301273507459053,-2.356146490329987,-2.322054309154976,-2.2903663539728916,-0.8821754989555399,-0.3760353091117398,0.00277276431,-2.350963376093765,-2.3474756979140072,-2.346536707634842,-2.3464025661663896
-0.8893031502270201,-0.3854807497336763,0.0024975117336956034,-2.337323408309223,-2.3920745161046826,-2.3596592734236435,-2.3292058816507204,-0.8890641766793482,-0.38149528125381654,0.0028298010700000004,-2.388254704323485,-2.3838280358645614,-2.3832914699907524,-2.384096318801466
-0.8964771554281832,-0.3909659410733459,0.0025340742756964595,-2.3734674342268867,-2.428844604983471,-2.397450862825159,-2.368328909530579,-0.8959296862045338,-0.3869243624643964,0.0028738749300000004,-2.4242046178686825,-2.4199120908782112,-2.4193755250044022,-2.421521788499638
-0.9043369111265167,-0.39676557013312386,0.002631574387698749,-2.4099879604145262,-2.466550319533477,-2.4349625145274043,-2.406695936871695,-0.9030268777159461,-0.3925310665310834,0.0029386894300000004,-2.460959380224593,-2.457471702044835,-2.456666853234122,-2.459752107008523
-0.9125659170925569,-0.4033338247309446,0.0027575120323683686,-2.4491439884919957,-2.506033722858792,-2.47518023065593,-2.4470474656270076,-0.9104947604053213,-0.3984080662483682,0.0030086890900000002,-2.4991896987334785,-2.497043435238243,-2.4955678790852684,-2.498921415796574
-0.9185266714141118,-0.4083648282526797,0.0027534495277016097,-2.4833113879922872,-2.5417746234992435,-2.512038694393211,-2.483051991284558,-0.9175456155194882,-0.4039143747876903,0.0030670221400000003,-2.5346030464048668,-2.53299334878344,-2.5313836511620136,-2.5342006219995103
-0.9260171768447383,-0.4141644573124579,0.002850949639703896,-2.5159727864126755,-2.5738665840219515,-2.54619109370421,-2.514237013507632,-0.9242026112570697,-0.4091117740120434,0.0031188737400000004,-2.566796998833402,-2.5646507353381662,-2.5637117450590003,-2.5653214426804274
-0.9335604323136089,-0.42017371151897476,0.0028712621630377078,-2.550328436047955,-2.610449547766498,-2.582582994609372,-2.549580038693785,-0.9321029669874015,-0.41523590118130344,0.0031707253400000005,-2.6018079220994337,-2.59858852685658,-2.5983202439196758,-2.599125092730389
-0.940417937285309,-0.42572877790755737,0.002920012219038849,-2.5776247056211905,-2.6383311927687343,-2.6094570137393394,-2.576985058223154,-0.9392156039645622,-0.42074993245349973,0.00322905839,-2.630111771942854,-2.626221669357739,-2.626221669357739,-2.6268923767000003
-0.9483831930601303,-0.43201753230972617,0.0030418873590417096,-2.604262099721969,-2.6653707746668776,-2.6365176580021537,-2.6025000764056694,-0.9463900228047167,-0.4263180228558156,0.0032925766000000004,-2.656671782696395,-2.652915821579733,-2.652379255705924,-2.653720670390446
-0.9555571982612938,-0.4378520988939607,0.0030784499010425674,-2.6304288684852772,-2.6944687330416954,-2.6651646158941658,-2.63207859748392,-0.9541050329460671,-0.4322799726347169,0.0033560948100000002,-2.684573208134459,-2.6813538128916052,-2.6801465396755355,-2.682292803170771
-0.9632587038448954,-0.44372160300265184,0.003180012517711616,-2.65452488576372,-2.7204791267015,-2.6911988219263208,-2.6578771158684633,-0.9610477697999948,-0.43774766750966787,0.0034053538300000004,-2.7100600871403824,-2.70751139923979,-2.7059017016183633,-2.708450389518956
-0.9701689588548392,-0.4493116069156906,0.003200325041045428,-2.678244402772186,-2.7475187085996433,-2.7166731525599346,-2.685660135667203,-0.9681063476470361,-0.44338526250785176,0.0034520202700000003,-2.736217673488567,-2.7340714099933314,-2.7323275709034522,-2.7348762588040447
-0.9786089649738554,-0.4557750489401422,0.0033222001810482883,-2.704034671265519,-2.775306791034759,-2.7450401727526774,-2.7130651551965723,-0.975497003007669,-0.4493472122867531,0.00350905703,-2.7629118257105607,-2.760765562215325,-2.759558288999255,-2.7615704110260384
-0.9858357202132626,-0.4620288658178544,0.0033993877697167663,-2.728507188813937,-2.798510307680915,-2.7682750017921274,-2.7362176716955213,-0.9822466715397412,-0.454984807284937,0.0035725752400000005,-2.785984158284344,-2.783569611852204,-2.7827647630414907,-2.784240319194465
-0.9922184748407683,-0.4673044320107851,0.003423762797717337,-2.749685329000069,-2.8218073868941937,-2.7915098308315773,-2.7594646882618132,-0.9890349537361846,-0.4607768569406054,0.0036322045800000003,-2.807580934705153,-2.8047639638676563,-2.8044956809307515,-2.8054346712099174
-0.9988649796594928,-0.4728245608749113,0.0034887628723855313,-2.7673808416889254,-2.8400520874829063,-2.8105455943819706,-2.778364701730344,-0.9952594764328094,-0.4662445518155563,0.0036866487600000003,-2.826226598820013,-2.822873062108707,-2.822873062108707,-2.8238120523878725
-1.00677748539607,-0.4795675030950146,0.0036106380123883883,-2.787429481065129,-2.8591388511757136,-2.827155231205352,-2.7982097158723,-1.0016230083211703,-0.4720443242040989,0.0037410929400000003,-2.844603979997968,-2.8412504432866625,-2.84111630181821,-2.84232357503428
